"PointID"	"x"	"y"	"Density"	"X-Momentum"	"Y-Momentum"	"Energy"	"Pressure"	"Temperature"	"Mach"	"Pressure_Coefficient"
1896	1.799999999999999e-01	2.600000000000000e-01	2.058723684086407e+63	-2.409091649065973e+69	-1.036621445792353e+70	1.949598279943480e+77	4.186299448798155e+76	1.016722030537064e+11	1.025352442175080e+00	8.372598897596310e+76	
1897	2.000000000000000e-01	2.600000000000000e-01	3.819915709560689e+63	-7.059956514311780e+68	-6.698848670806707e+69	2.422789579633999e+76	4.572222490412540e+75	5.984716467655212e+09	1.441627935976205e+00	9.144444980825080e+75	
1898	2.200000000000000e-01	2.600000000000000e-01	6.423396693161900e+62	6.301153944935827e+68	-5.181752340622288e+69	5.480086409194862e+76	8.397802823338224e+75	6.536886342609200e+10	2.010221595477652e+00	1.679560564667645e+76	
1899	2.400000000000000e-01	2.600000000000000e-01	6.327202165679578e+63	2.559237275086853e+70	-4.847447749460862e+70	2.880776902905246e+77	1.265778782644653e+76	1.000267376875180e+10	5.478529535887721e+00	2.531557565289307e+76	
1900	2.600000000000000e-01	2.600000000000000e-01	3.028966883044099e+63	-5.302009491443573e+69	-5.340829883155440e+69	8.357920552997601e+76	1.855754536934616e+76	3.063345702660161e+10	8.978067461664010e-01	3.711509073869233e+76	
1901	2.800000000000000e-01	2.600000000000000e-01	1.666860761939858e+65	9.820423517522860e+70	3.341250338336315e+71	1.157381797234727e+78	1.983933338035978e+77	5.951106965068629e+09	1.712903322685350e+00	3.967866676071957e+77	
1902	2.999999999999999e-01	2.600000000000000e-01	3.976266664878563e+65	-2.448471599213276e+69	1.604555601854295e+70	1.220958461232780e+77	3.044114047550541e+76	3.827854497836490e+08	1.319562324828977e-01	6.088228095101082e+76	
1903	3.200000000000000e-01	2.600000000000000e-01	6.514199234872537e+66	2.216095816054562e+71	-2.103472544609062e+71	4.794303643661974e+77	1.180661818416830e+77	9.062217594576931e+07	3.116195052998863e-01	2.361323636833659e+77	
1904	3.400000000000000e-01	2.600000000000000e-01	2.364521821892924e+66	-1.378685923153500e+71	3.486817492229057e+71	7.314435890685726e+77	1.754288073152510e+77	3.709604320225961e+08	5.207089114587123e-01	3.508576146305019e+77	
1905	3.600000000000000e-01	2.600000000000000e-01	3.296420733840292e+66	-2.956763586047205e+71	-5.873667058542456e+71	1.057693867807808e+78	2.480259789225626e+77	3.762049795045659e+08	6.504741796256276e-01	4.960519578451252e+77	
1906	3.800000000000000e-01	2.600000000000000e-01	1.309374909605212e+66	-2.939651861078326e+69	-1.746392557853782e+71	2.447959803396364e+77	5.828658331207188e+76	2.225740805192525e+08	5.654993067140566e-01	1.165731666241438e+77	
1907	4.000000000000000e-01	2.600000000000000e-01	5.388330730223517e+66	-2.765000250651889e+71	5.651304177294718e+70	1.084364519601942e+77	2.526146313940135e+76	2.344089886475237e+07	6.841803108313321e-01	5.052292627880270e+76	
1908	4.200000000000000e-01	2.600000000000000e-01	5.255840960469278e+64	-7.578096940688221e+68	2.293693840257681e+70	2.944493651045551e+76	6.108633871115150e+75	5.811281122336061e+08	1.145576740335234e+00	1.221726774223030e+76	
1909	4.399999999999999e-01	2.600000000000000e-01	3.817089150509474e+64	1.007749727021685e+70	2.420840420997480e+70	1.642690671385720e+77	3.881554184938384e+76	5.084442662834199e+09	6.093191520196297e-01	7.763108369876768e+76	
1910	4.600000000000000e-01	2.600000000000000e-01	7.430254198107027e+65	1.289859694388078e+71	1.670860847448017e+71	6.030111418797952e+77	1.432572242752243e+77	9.640129425970465e+08	5.786737710859106e-01	2.865144485504485e+77	
1911	4.800000000000000e-01	2.600000000000000e-01	3.752515203137152e+66	5.076557023489790e+71	-1.197683084162631e+71	1.306408329544375e+77	2.359766135002904e+76	3.144245935406348e+07	1.567763821172328e+00	4.719532270005808e+76	
1912	5.000000000000000e-01	2.600000000000000e-01	2.270549772413187e+66	5.039032860203831e+70	-3.186200069521855e+71	3.357229703457962e+77	7.820206977165773e+76	1.722095474888951e+08	6.847118949341885e-01	1.564041395433155e+77	
1913	5.200000000000000e-01	2.600000000000000e-01	1.682630807384243e+66	6.836186246257362e+70	2.408039713599060e+71	1.622118664012936e+77	3.589806127386449e+76	1.066724236722800e+08	9.109822519694318e-01	7.179612254772898e+76	
1914	5.400000000000000e-01	2.600000000000000e-01	4.272816948387548e+66	1.056378305881979e+71	-8.651346733671040e+69	4.724495936670036e+76	1.148258671929155e+76	1.343678755489957e+07	4.279953014403509e-01	2.296517343858310e+76	
1915	5.600000000000001e-01	2.600000000000000e-01	5.693112644269684e+66	7.188511097862549e+70	7.869868008150234e+69	1.548832422226177e+77	3.860599190701635e+76	3.390587392107429e+07	1.379649744658269e-01	7.721198381403271e+76	
1916	5.800000000000001e-01	2.600000000000000e-01	1.116505392479037e+66	-5.293339179343414e+70	-1.696935224090286e+71	5.079091399968140e+77	1.234397029455040e+77	5.527949250268474e+08	4.282681861145813e-01	2.468794058910079e+77	
1917	6.000000000000000e-01	2.600000000000000e-01	8.019630688134722e+64	6.274080498873880e+70	-1.181257522768145e+71	1.211817953147482e+77	2.410589386114429e+75	1.502930421522382e+08	8.604241606362825e+00	4.821178772228858e+75	
1918	6.200000000000000e-01	2.600000000000000e-01	2.379943131434287e+65	-8.141714579958251e+70	-7.760114157171182e+70	1.576337032850885e+77	3.276399772743816e+76	6.883357273266597e+08	1.139253434031204e+00	6.552799545487632e+76	
1919	6.400000000000000e-01	2.600000000000000e-01	7.296038484349827e+66	8.768762976235832e+70	-1.505380999837603e+71	4.453147777654626e+77	1.108087060938336e+77	7.593758334164549e+07	1.733005140567812e-01	2.216174121876671e+77	
1920	6.599999999999999e-01	2.600000000000000e-01	1.348109751962723e+66	2.703732896183487e+71	-1.358259920726765e+71	9.977821612802614e+77	2.409567641161727e+77	8.936837811808791e+08	4.748352675089338e-01	4.819135282323454e+77	
1921	6.799999999999999e-01	2.600000000000000e-01	9.445845420202280e+65	2.580217491669508e+71	-1.271265405976817e+71	6.105450924956553e+77	1.416874939666567e+77	7.499990083662754e+08	7.032456839792046e-01	2.833749879333134e+77	
1922	7.000000000000000e-01	2.600000000000000e-01	2.415704450646400e+65	1.360812668780880e+71	1.848851994410513e+71	5.891979397590461e+77	1.200296712869568e+77	2.484361678740108e+09	1.205831885811091e+00	2.400593425739135e+77	
1923	7.200000000000000e-01	2.600000000000000e-01	3.287784058478529e+65	3.065553707775601e+71	1.415829817016762e+70	5.714177008056544e+77	1.070489057829545e+77	1.627979573459166e+09	1.463099493293740e+00	2.140978115659089e+77	
1924	7.400000000000000e-01	2.600000000000000e-01	2.706605746432214e+66	6.450329145439536e+71	-1.047680275646744e+72	1.974185223008025e+78	4.236385706293515e+77	7.826011808106560e+08	1.027672785875221e+00	8.472771412587030e+77	
